,lower-var,upper-var,Balanced_acc,F2_score,Recall,Precision
0,-0.000790072,0.019220138,0.868960174,0.720832777,0.815284405,0.360452901
1,-0.000534099,0.013037407,0.868960174,0.720832777,0.815284405,0.360452901
2,-0.000625243,0.014719979,0.868960174,0.720832777,0.815284405,0.360452901
3,-0.000462908,0.011419796,0.868960174,0.720832777,0.815284405,0.360452901
4,-0.003175257,0.081647697,0.868919043,0.72022796,0.816518973,0.356913421
5,-0.00374133,0.097024267,0.868853211,0.720068225,0.816518973,0.356501083
6,-0.000717009,0.018208203,0.868960174,0.720832777,0.815284405,0.360452901
7,-0.000590177,0.015250428,0.868960174,0.720832777,0.815284405,0.360452901
8,0.04934926,0.610538826,0.871796701,0.720662354,0.832545634,0.333607025
9,-0.000859005,0.021497636,0.868894341,0.720670616,0.815284405,0.36004638
10,0.075222656,0.486846181,0.872438649,0.723217954,0.830076498,0.342556373
11,-0.000307839,0.008443101,0.869091872,0.721155,0.815284405,0.361214235
12,0.137313916,0.338713342,0.869684492,0.720591186,0.820222677,0.351709887
13,-0.000142287,0.004057932,0.869091872,0.721155,0.815284405,0.361214235
14,-0.000388769,0.010895817,0.868993101,0.720915577,0.815284405,0.360645174
15,0.064193522,0.423535701,0.871311045,0.722022121,0.826372794,0.345438288
16,-5.39E-05,0.001597892,0.869091872,0.721155,0.815284405,0.361214235
17,0.065806364,0.109783691,0.869215345,0.720963213,0.816518973,0.35863354
18,0.070337883,0.337916362,0.870355629,0.721211354,0.822684238,0.34927095
19,-0.00040601,0.012572133,0.868960174,0.720832777,0.815284405,0.360452901
20,0.037126649,0.149480538,0.868622742,0.71950386,0.816518973,0.355185495
21,0.035731061,-0.00088422,0.869651537,0.722539978,0.815284405,0.364583732
22,0.043014518,0.050671244,0.869091872,0.721155,0.815284405,0.361214235
23,0.03931086,-0.000969525,0.869684465,0.722617775,0.815284405,0.364773866
24,-0.000354744,0.010742794,0.868993101,0.720915577,0.815284405,0.360645174
25,-0.000101382,0.003098138,0.869091872,0.721155,0.815284405,0.361214235
26,0.039190035,0.200801083,0.869396415,0.720407442,0.818988109,0.353232676
27,0.04186735,0.13110305,0.868919043,0.72022796,0.816518973,0.356913421
28,0.086253217,0.083822248,0.86922357,0.721472798,0.815284405,0.361994195
29,0.109731047,0.166960255,0.869182429,0.72088116,0.816518973,0.358442452
30,0.063034486,0.159582161,0.868919043,0.72022796,0.816518973,0.356913421
31,-0.000124095,0.003921929,0.869091872,0.721155,0.815284405,0.361214235
32,0.079212152,0.161021255,0.868984876,0.720389925,0.816518973,0.357311433
33,0.060770709,0.083891407,0.868927258,0.720752947,0.815284405,0.360240566
34,-8.60E-05,0.002737283,0.869091872,0.721155,0.815284405,0.361214235
35,0.045392412,0.105879329,0.869116574,0.720716207,0.816518973,0.358064938
36,0.003525376,-9.19E-05,0.86922357,0.721472798,0.815284405,0.361994195
37,0.063505374,0.004035163,0.869783225,0.722863537,0.815284405,0.365367841
38,0.005508748,0.012781537,0.869091872,0.721155,0.815284405,0.361214235
39,0.005007295,-0.000133956,0.869256497,0.721550421,0.815284405,0.362182265
40,0.098184403,0.08779971,0.869289414,0.721632844,0.815284405,0.362377501
41,-0.001273796,0.041936243,0.869215345,0.720963213,0.816518973,0.35863354
42,-2.81E-05,0.000942979,0.869091872,0.721155,0.815284405,0.361214235
43,-0.000372741,0.012324941,0.868960174,0.720832777,0.815284405,0.360452901
44,0.019119491,-0.000505369,0.869388174,0.721880728,0.815284405,0.362987713
45,0.042469872,0.002169329,0.869684465,0.722617775,0.815284405,0.364773866
46,0.04984481,0.028897827,0.869388174,0.721880728,0.815284405,0.362987713
47,0.014960679,0.010754242,0.86922357,0.721472798,0.815284405,0.361994195
48,0.042205343,0.02971976,0.869289414,0.721632844,0.815284405,0.362377501
49,0.093849019,0.139470776,0.869215345,0.720963213,0.816518973,0.35863354
50,0.058875641,0.045244242,0.86932233,0.721712858,0.815284405,0.362592324
51,0.071557062,0.054584252,0.869355247,0.721797742,0.815284405,0.362793387
52,0.107937843,0.171732208,0.869116574,0.720716207,0.816518973,0.358064938
53,0.007833363,0.003616267,0.86922357,0.721472798,0.815284405,0.361994195
54,0.146522766,0.179492201,0.86879557,0.720428483,0.815284405,0.359478922
55,0.017140223,0.002597307,0.86932233,0.721712858,0.815284405,0.362592324
56,-0.000260622,0.008536137,0.869091872,0.721155,0.815284405,0.361214235
57,0.030820849,0.055296148,0.868861414,0.720593428,0.815284405,0.359863325
58,0.058300949,0.01206962,0.869717381,0.722700479,0.815284405,0.364972303
59,0.039056543,0.000452332,0.869651537,0.722539978,0.815284405,0.364583732
